Date,Name,Title,Link,pdf,Web Index,ID,sentiment_binary,compound,sentiment
2010-03-02,Erkki Liikanen, Economic policy and economic theory facing challenges after the financial crisis,https://www.bis.org/review/r100302b.pdf,https://www.bis.org/review/r100302b.pdf,1179,r100302b.pdf,0.0,-0.9984,neg
2010-03-02,William C Dudley, Financial conditions indexes - a new look after the financial crisis,https://www.bis.org/review/r100302a.pdf,https://www.bis.org/review/r100302a.pdf,1179,r100302a.pdf,1.0,0.9997,pos
2010-03-02,Jose Manuel Gonzalez-Paramo, Monetary and fiscal policy interactions during the financial crisis,https://www.bis.org/review/r100302c.pdf,https://www.bis.org/review/r100302c.pdf,1179,r100302c.pdf,1.0,0.9987,pos
2010-03-02,Daniel K Tarullo, Financial regulatory reform,https://www.bis.org/review/r100302d.pdf,https://www.bis.org/review/r100302d.pdf,1179,r100302d.pdf,1.0,0.999,pos
2010-03-02,Paul Fisher, The corporate sector and the Bank of England's asset purchases,https://www.bis.org/review/r100302e.pdf,https://www.bis.org/review/r100302e.pdf,1179,r100302e.pdf,1.0,0.9999,pos
2010-03-04,Shyamala Gopinath, Pursuit of complete markets - the missing perspectives,https://www.bis.org/review/r100304d.pdf,https://www.bis.org/review/r100304d.pdf,1179,r100304d.pdf,1.0,0.9999,pos
2010-03-04,Deepak Mohanty, Monetary policy framework in India - experience with multiple-indicators approach,https://www.bis.org/review/r100304e.pdf,https://www.bis.org/review/r100304e.pdf,1179,r100304e.pdf,1.0,0.9997,pos
2010-03-04,Emmanuel Tumusiime-Mutebile, The primary dealer system in Uganda,https://www.bis.org/review/r100304c.pdf,https://www.bis.org/review/r100304c.pdf,1179,r100304c.pdf,1.0,0.9973,pos
2010-03-04,Patrick Honohan, Examining the Irish banking system,https://www.bis.org/review/r100304a.pdf,https://www.bis.org/review/r100304a.pdf,1179,r100304a.pdf,1.0,0.9911,pos
2010-03-04,Zeti Akhtar Aziz, Three trends and their post-crisis implications,https://www.bis.org/review/r100304b.pdf,https://www.bis.org/review/r100304b.pdf,1179,r100304b.pdf,1.0,0.9998,pos
2010-03-16,Andrew G Haldane, Fair value in foul weather,https://www.bis.org/review/r100316e.pdf,https://www.bis.org/review/r100316e.pdf,1176,r100316e.pdf,1.0,0.9999,pos
2010-03-16,Ardian Fullani, Recent economic developments in Albania,https://www.bis.org/review/r100316d.pdf,https://www.bis.org/review/r100316d.pdf,1176,r100316d.pdf,1.0,0.9975,pos
2010-03-16,Jean-Claude Trichet," Inauguration of the ""Language of Money"" exhibition and the Euro Exhibition",https://www.bis.org/review/r100316c.pdf,https://www.bis.org/review/r100316c.pdf,1176,r100316c.pdf,1.0,0.9987,pos
2010-03-16,Axel A Weber, Making the financial system more resilient - the role of capital requirements,https://www.bis.org/review/r100316b.pdf,https://www.bis.org/review/r100316b.pdf,1176,r100316b.pdf,0.0,-0.9987,neg
